"t","c"
"2010-06-01 00:00:00","867362"
"2010-06-02 00:00:00","948076"
"2010-06-03 00:00:00","1013470"
"2010-06-04 00:00:00","1033146"
"2010-06-05 00:00:00","994314"
"2010-06-06 00:00:00","895938"
"2010-06-07 00:00:00","931308"
"2010-06-08 00:00:00","1009708"
"2010-06-09 00:00:00","1065500"
"2010-06-10 00:00:00","1055492"
"2010-06-11 00:00:00","1081880"
"2010-06-12 00:00:00","1016712"
"2010-06-13 00:00:00","821776"
"2010-06-14 00:00:00","905352"
"2010-06-15 00:00:00","988262"
"2010-06-16 00:00:00","1032634"
"2010-06-17 00:00:00","1065210"
"2010-06-18 00:00:00","1080370"
"2010-06-19 00:00:00","988712"
"2010-06-20 00:00:00","862110"
"2010-06-21 00:00:00","914172"
"2010-06-22 00:00:00","1002500"
"2010-06-23 00:00:00","1048656"
"2010-06-24 00:00:00","1092478"
"2010-06-25 00:00:00","1082742"
"2010-06-26 00:00:00","1030136"
"2010-06-27 00:00:00","885500"
"2010-06-28 00:00:00","953152"
"2010-06-29 00:00:00","992934"
"2010-06-30 00:00:00","990654"
"2010-07-01 00:00:00","986402"
"2010-07-02 00:00:00","892080"
"2010-07-03 00:00:00","702974"
"2010-07-04 00:00:00","606626"
"2010-07-05 00:00:00","633570"
"2010-07-06 00:00:00","911136"
"2010-07-07 00:00:00","985830"
"2010-07-08 00:00:00","1015100"
"2010-07-09 00:00:00","1016594"
"2010-07-10 00:00:00","926352"
"2010-07-11 00:00:00","879938"
"2010-07-12 00:00:00","918552"
"2010-07-13 00:00:00","1045754"
"2010-07-14 00:00:00","1097022"
"2010-07-15 00:00:00","1111852"
"2010-07-16 00:00:00","1143072"
"2010-07-17 00:00:00","1044012"
"2010-07-18 00:00:00","862070"
"2010-07-19 00:00:00","868662"
"2010-07-20 00:00:00","930802"
"2010-07-21 00:00:00","977432"
"2010-07-22 00:00:00","990636"
"2010-07-23 00:00:00","1013826"
"2010-07-24 00:00:00","952912"
"2010-07-25 00:00:00","851614"
"2010-07-26 00:00:00","957126"
"2010-07-27 00:00:00","971148"
"2010-07-28 00:00:00","991696"
"2010-07-29 00:00:00","1051088"
"2010-07-30 00:00:00","1037482"
"2010-07-31 00:00:00","939678"
"2010-08-01 00:00:00","786246"
"2010-08-02 00:00:00","426024"
"2010-08-03 00:00:00","475880"
"2010-08-04 00:00:00","506266"
"2010-08-05 00:00:00","749364"
"2010-08-06 00:00:00","886554"
"2010-08-07 00:00:00","863158"
"2010-08-08 00:00:00","761068"
"2010-08-09 00:00:00","798126"
"2010-08-10 00:00:00","879514"
"2010-08-11 00:00:00","921364"
"2010-08-12 00:00:00","936618"
"2010-08-13 00:00:00","929486"
"2010-08-14 00:00:00","844550"
"2010-08-15 00:00:00","781256"
"2010-08-16 00:00:00","801298"
"2010-08-17 00:00:00","879426"
"2010-08-18 00:00:00","895900"
"2010-08-19 00:00:00","943668"
"2010-08-20 00:00:00","918416"
"2010-08-21 00:00:00","827286"
"2010-08-22 00:00:00","756066"
"2010-08-23 00:00:00","773640"
"2010-08-24 00:00:00","822466"
"2010-08-25 00:00:00","900202"
"2010-08-26 00:00:00","897194"
"2010-08-27 00:00:00","899240"
"2010-08-28 00:00:00","831506"
"2010-08-29 00:00:00","764650"
"2010-08-30 00:00:00","749762"
"2010-08-31 00:00:00","850162"
"2010-09-01 00:00:00","900860"
"2010-09-02 00:00:00","920420"
"2010-09-03 00:00:00","884088"
"2010-09-04 00:00:00","792246"
"2010-09-05 00:00:00","717912"
"2010-09-06 00:00:00","627044"
"2010-09-07 00:00:00","850628"
"2010-09-08 00:00:00","919836"
"2010-09-09 00:00:00","933444"
"2010-09-10 00:00:00","891240"
"2010-09-11 00:00:00","974492"
"2010-09-12 00:00:00","893552"
"2010-09-13 00:00:00","886502"
"2010-09-14 00:00:00","957380"
"2010-09-15 00:00:00","1000204"
"2010-09-16 00:00:00","960178"
"2010-09-17 00:00:00","1024818"
"2010-09-18 00:00:00","974924"
"2010-09-19 00:00:00","1698828"
"2010-09-20 00:00:00","1223086"
"2010-09-21 00:00:00","1294658"
"2010-09-22 00:00:00","1357366"
"2010-09-23 00:00:00","1359208"
"2010-09-24 00:00:00","1451700"
"2010-09-25 00:00:00","1527908"
"2010-09-26 00:00:00","1319072"
"2010-09-27 00:00:00","862476"
"2010-09-28 00:00:00","924926"
"2010-09-29 00:00:00","958784"
"2010-09-30 00:00:00","993326"
"2010-10-01 00:00:00","477308"
"2010-10-02 00:00:00","486454"
"2010-10-03 00:00:00","421276"
"2010-10-04 00:00:00","874956"
"2010-10-05 00:00:00","914640"
"2010-10-06 00:00:00","956300"
"2010-10-07 00:00:00","1000158"
"2010-10-08 00:00:00","1008704"
"2010-10-09 00:00:00","1034386"
"2010-10-10 00:00:00","900192"
"2010-10-11 00:00:00","815892"
"2010-10-12 00:00:00","917950"
"2010-10-13 00:00:00","951442"
"2010-10-14 00:00:00","966434"
"2010-10-15 00:00:00","1038266"
"2010-10-16 00:00:00","1055540"
"2010-10-17 00:00:00","917914"
"2010-10-18 00:00:00","875016"
"2010-10-19 00:00:00","927726"
"2010-10-20 00:00:00","988596"
"2010-10-21 00:00:00","1029494"
"2010-10-22 00:00:00","1053790"
"2010-10-23 00:00:00","1040672"
"2010-10-24 00:00:00","898134"
"2010-10-25 00:00:00","861510"
"2010-10-26 00:00:00","928894"
"2010-10-27 00:00:00","962330"
"2010-10-28 00:00:00","1004266"
"2010-10-29 00:00:00","1060756"
"2010-10-30 00:00:00","1077812"
"2010-10-31 00:00:00","952406"
"2010-11-01 00:00:00","939918"
"2010-11-02 00:00:00","935200"
"2010-11-03 00:00:00","979986"
"2010-11-04 00:00:00","1006948"
"2010-11-05 00:00:00","1036768"
"2010-11-06 00:00:00","1066944"
"2010-11-07 00:00:00","926722"
"2010-11-08 00:00:00","899326"
"2010-11-09 00:00:00","926190"
"2010-11-10 00:00:00","971072"
"2010-11-11 00:00:00","977004"
"2010-11-12 00:00:00","1033582"
"2010-11-13 00:00:00","1048336"
"2010-11-14 00:00:00","919328"
"2010-11-15 00:00:00","874818"
"2010-11-16 00:00:00","903114"
"2010-11-17 00:00:00","942194"
